n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,latitude,longitude
Ref_0513,,11,Limoux,,CCAS de Limoux,Mairie de Limoux,11300,Rue de la mairie,,Rue de la mairie 11300 Limoux,Collectivité territoriale,,,04 68 31 01 16,aidantsconnect@limoux.fr,https://www.limoux.fr/,9h/12h 13h30/18h,8h30/12h 13h30/18h,8h30/12h 13h30/18h,8h30/12h 13h30/18h,8h30/12h,,,Février 2022,TP,,ACCDS,TP,Présence d'une conseillère numérique/aidant connect,,ACCDA,TP,,,COMP,TP,Une conseillère Numérique est présente pour accompagner les usagers à apprendre à se servir du numérique ( ordinateur  tablette  téléphone) à se connecter et à aller chercher ses documents administratifs.  L'Aidants Connect accompagne ou fait à la place (avec mandat France Connect) à la place de l'usager.  Personnel accompagnant  pas d'ordi à disposition pour un usage seul.,,SENS,TP,,,ENT,TP,,,,,oui,,,,,,,43.052443,2.218779
Ref_0514,,65,Saint-Laurent-de-Neste,,Espace France Services,,65150,Place de la Mairie,,Place de la Mairie 65150 Saint-Laurent-de-Neste,Collectivité territoriale,,,,conseiller-numerique@neste-barousse.fr,https://neste-barousse.fr/,9h/12h30 14h/17h,9h/12h30 14h/17h,9h/12h30 14h/17h,9h/12h30 14h/17h,9h/12h30 14h/17h,,,Février 2022,TP,,ORDM,TP,Un ordinateur à Sarp  deux à Saint-Laurent-De-Neste.  Matériel mis à disposition lors des ateliers de médiation numérique (tablettes  portables  ordinateurs portables),,ACCDS,TP,Matériel mis à disposition lors des ateliers (25 tablettes  25 ordinateurs portables  25 téléphones),,COMP,TP,Conseillère numérique sur les deux lieux France Services ainsi que des agents France Services  Lundi : 9h/12h30 14h/17h (St Laurent de Neste)  Mardi : 9h/12h30 14h/17h (Sarp)  Jeudi : 9h/12h30 14h/17h (St Laurent de Neste)  Vendredi : 9h/12h30 14h/17h (Sarp),,SENS,TP,,,,,,,MFS,France Services,,,,,,,,43.077226,0.48293
Ref_0515,,34,AGDE,,Lieux d'Accès Multimédia de AGDE (IFIIP),,34300,12 bis chemin d'Agde au Mont Saint-Loup,,12 bis chemin d'Agde au Mont Saint-Loup 34300 AGDE,,,,04.67.00.29.53,ifiip@wanadoo.fr,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.309163,3.479796
Ref_0516,,34,BEZIERS,,Lieux d'Accès Multimédia de BEZIERS (Nouas),,34500,33 rue Boieldieu,,33 rue Boieldieu 34500 BEZIERS,,,,09.67.50.28.90,s.meziane@nouas.org ou d.durand@nouas.org,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.344616,3.21657
Ref_0517,,34,CANET,,Lieux d'Accès Multimédia de CANET (commune),,34800,145 avenue du Capitaine Fulcrand,,145 avenue du Capitaine Fulcrand 34800 CANET,,,,04.67.88.66.32,lam34canet@gmail.com,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Payant;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.604139,3.491679
Ref_0518,,34,CAPESTANG,,Lieux d'Accès Multimédia de CAPESTANG (ISCAP),,34310,27 boulevard Pasteur,,27 boulevard Pasteur 34310 CAPESTANG,,,,04.67.30.13.27,iscap3411@gmail.com,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.327919,3.0466
Ref_0519,,34,CASTRIES,,Lieux d'Accès Multimédia de CCAS DE CASTRIES - CENTRE SOCIOCULTUREL MUNICIPAL Lino Ventura,Espace gare,34160,50 avenue de la Gare,,50 avenue de la Gare 34160 CASTRIES,,,,04 67 16 24 42,accueil.csm@castries.fr,https://www.castries.fr/,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.674329,3.987889
Ref_0520,,34,FLORENSAC,,Lieux d'Accès Multimédia de FLORENSAC (Médiathèque communale),Médiathèque,34510,14 rue des Pouilhes,,14 rue des Pouilhes 34510 FLORENSAC,,,,04.67.39.89.62,lam@ville-florensac.fr,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.385051,3.466059
Ref_0521,,34,GANGES,,Lieux d'Accès Multimédia de GANGES,Maison départementale des services,34190,avenue du Mont Aigoual,,avenue du Mont Aigoual 34190 GANGES,,,,04.67.73.66.57,lam-cyber-base@orange.fr,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Payant;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.932521,3.704428
Ref_0522,,34,GRABELS,,Lieux d'Accès Multimédia de GRABELS (centre socioculturel Gutenberg),Centre Gutenberg,34790,2 place Jean Jaures,,2 place Jean Jaures 34790 GRABELS,,,,04.67.10.08.31,lam@centregutenberg.com,http://www.centregutenberg.com/activites/l-espace-multimedia,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.647551,3.801765
Ref_0523,,34,LA GRANDE-MOTTE,,Lieux d'Accès Multimédia de la GRANDE MOTTE (communauté d'agglo du Pays de l'Or),bâtiment Poisson,34280,Point zéro,,Point zéro 34280 LA GRANDE-MOTTE,,,,04.99.62.14.25,pemploi@paysdelor.fr,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.556871,4.094236
Ref_0524,,34,LODEVE,,Lieux d'Accès Multimédia de LODEVE (cc Lodévois Larzac),,34700,1 place capitaine Francis Morand,,1 place capitaine Francis Morand 34700 LODEVE,,,,04.67.88.90.90,procha@lodevoisetlarzac.fr,http://www.lodevoisetlarzac.fr,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Payant;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.731809,3.316947
Ref_0525,,34,LUNEL,,Lieux d'Accès Multimédia de LUNEL (Ligue de l'enseignement),résidence du Palais,34400,2 boulevard de la république,,2 boulevard de la république 34400 LUNEL,,,,04.67.83.60.64,lunel@laligue34.org,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Payant;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.675879,4.131521
Ref_0526,,34,MAUGUIO,,Lieux d'Accès Multimédia de MAUGUIO (communauté d'agglo du Pays de l'Or),,34130,247 Boulevard de la démocratie,,247 Boulevard de la démocratie 34130 MAUGUIO,,,,04.67.56.18.22,clarisse.picandet@paysdelor.fr,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.617634,4.008792
Ref_0527,,34,MONTARNAUD,,Lieux d'Accès Multimédia de MONTARNAUD (commune),Bibliothèque,34570,Allée de l'esplanade Jean Moulin,,Allée de l'esplanade Jean Moulin 34570 MONTARNAUD,,,,04.67.55.75.35,multimedia@montarnaud.fr,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Payant;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.65013,3.699415
Ref_0528,,34,MONTPELLIER,,Lieux d'Accès Multimédia NOUAS de MONTPELLIER ALCO,La Pergola,34080,925 rue d'Alco,,925 rue d'Alco 34080 MONTPELLIER,,,,09.51.09.87.05,secretariat@nouas.org,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.617368,3.839961
Ref_0529,,34,MONTPELLIER,,Lieux d'Accès Multimédia de MONTPELLIER (Centre social espace famille ADAGES),,34070,191 rue louis Aragon,,191 rue louis Aragon 34070 MONTPELLIER,,,,04.67.27.43.92,espacefamille@adages.net,https://www.adages.net/espacefamille/espace-famille-la-famille-au-coeur-de-lattention/maison-digitale-montpellier/,,,,,,,,juil-22,,Inscription obligatoire;Payant;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.593241,3.864651
Ref_0530,,34,MONTPELLIER,,Lieux d'Accès Multimédia de MONTPELLIER (CENTRE APAJ),,34000,6 rue dom Vaissette,,6 rue dom Vaissette 34000 MONTPELLIER,,,,04 67 06 75 04,apaj.epn@gmail.com,https://sites.google.com/site/centreapaj/permanences-quartiers/accueil-lam-epn?authuser=0,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.605486,3.871501
Ref_0531,,34,OLARGUES,,Lieux d'Accès Multimédia d'OLARGUES (centre Cebenna),,34390,avenue du champ des Horts,,avenue du champ des Horts 34390 OLARGUES,,,,04.67.97.88.02,cebenna@cebenna.org,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.555874,2.913117
Ref_0532,,34,ROUJAN,,Lieux d'Accès Multimédia de ROUJAN (Ligue de l'Enseignement de l'Hérault),Maison de la Solidarité,34320,35 avenue de Pézenas,,35 avenue de Pézenas 34320 ROUJAN,,,,04.67.24.50.80,lamroujan@gmail.com,,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.50366,3.312477
Ref_0533,,34,SAINT-MATHIEU-DE-TREVIERS,,Lieux d'Accès Multimédia de St MATHIEU DE TREVIERS (MLI Garrigue et Cévennes),les jardins de silène  Bat A,34270,120 allée Eugène Saumade,,120 allée Eugène Saumade 34270 SAINT-MATHIEU-DE-TREVIERS,,,,04.67.55.17.80,mlgc.stmathieu@orange.fr,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Payant;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.768344,3.864472
Ref_0534,,34,SETE,,Lieux d'Accès Multimédia de SETE (APIJE),Résidence les Terrasses du Port,34200,3 Place Delille,,3 Place Delille 34200 SETE,,,,04 67 74 08 29,espace.numerique@apije.org,http://apije.org/,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.404939,3.700663
Ref_0535,,34,VENDRES,,Lieux d'Accès Multimédia de VENDRES (RLI les Sablières),Maison de l'économie,34350,1 rue de Barcelone,,1 rue de Barcelone 34350 VENDRES,,,,04.67.32.56.36,sinformatique@rlise.fr,https://www.rli-les-sablieres.org,,,,,,,,juil-22,,Gratuit;Payant;Inscription obligatoire;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,APTIC,APTIC,,,,,,,,43.295004,3.220258
Ref_0536,,34,BEDARIEUX,,Espace de médiation numérique-permanence BEDARIEUX (Familles Rurales),CCAS,34600,Place aux herbes,,Place aux herbes 34600 BEDARIEUX,,,,04.67.79.35.93,,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.615391,3.158208
Ref_0537,,34,BEDARIEUX,,Espace de médiation numérique-permanence BEDARIEUX(Familles Rurales),Maison jaune,34600,57 rue Saint Alexandre,,57 rue Saint Alexandre 34600 BEDARIEUX,,,,04.67.79.35.93,,,,,,,,,,juil-22,,,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.615896,3.159801
Ref_0538,,34,SAINT-PONS-DE-THOMIERES,,Espace de médiation numérique-permanence ST PONS DE THOMIERES (Familles Rurales),Mairie,34220,Rue de Villeneuve,,Rue de Villeneuve 34220 SAINT-PONS-DE-THOMIERES,,,,04.67.79.35.93,,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.488001,2.760705
Ref_0539,,34,CLERMONT-L'HERAULT,,Espace de médiation numérique-permanence CLERMONT L'HERAULT (IFIIP),Agence départementale de la solidarité,34800,Place Jean Jaurès,,Place Jean Jaurès 34800 CLERMONT-L'HERAULT,,,,04.67.67.43.90,,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.626494,3.436564
Ref_0540,,34,PAULHAN,,Espace de médiation numérique-permanence PAULHAN (IFIIP),Hôtel de ville,34230,19 cours National,,19 cours National 34230 PAULHAN,,,,04.67.00.29.52,,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.54116,3.461136
Ref_0541,,34,SERVIAN,,Espace de médiation numérique-permanence SERVIAN (IFIIP),CCAS,34290,70 Grand Rue,,70 Grand Rue 34290 SERVIAN,,,,04.67.00.29.52,,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.425867,3.303193
Ref_0542,,34,MAUGUIO,,Espace de médiation numérique-permanence MAUGUIO CARNON (Adages espace famille),Médiathèque de l'Ancre,34130,Rue du levant,,Rue du levant 34130 MAUGUIO,,,,06.40.87.25.04,,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.546671,3.979634
Ref_0543,,34,PIGNAN,,Espace de médiation numérique-permanence PIGNAN (Adages espace famille),CCAS,34570,allée des Acacias,,allée des Acacias 34570 PIGNAN,,,,06.40.87.25.04,,,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.582167,3.760876
Ref_0544,,34,MONTPELLIER,,Antenne Lieux d'Accès Multimédias de MONTPELLIER (Adages Espace Vie Sociale ),Mas des possibles,34070,272 rue Tatius,,272 rue Tatius 34070 MONTPELLIER,,,,04 67 65 48 54,d.machecourt@adages.net,https://www.adages.net/espacefamille/espace-famille-la-famille-au-coeur-de-lattention/maison-digitale-montpellier/,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.585585,3.858892
Ref_0545,,34,MONTPELLIER,,Caisse d'Allocations Familiales de CELLENEUVE-Siège,,34070,139 avenue de Lodève,,139 avenue de Lodève 34070 MONTPELLIER,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/montpellier-celleneuve,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.614685,3.83232
Ref_0546,,34,BEZIERS,,Caisse d'Allocations Familiales de BEZIERS- De Gaulle,,34500,Place du Général de Gaulle,,Place du Général de Gaulle 34500 BEZIERS,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/beziers-de-gaulle,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.345547,3.21848
Ref_0547,,34,AGDE,,Caisse d'Allocations Familiales de AGDE,CCAS- Espace Mirabel,34300,Rue Alsace Lorraine,,Rue Alsace Lorraine 34300 AGDE,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/agde,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.314635,3.479576
Ref_0548,,34,BEDARIEUX,,Caisse d'Allocations Familiales de BEDARIEUX,CCAS,34600,Place aux herbes,,Place aux herbes 34600 BEDARIEUX,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/bedarieux,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.615391,3.158208
Ref_0549,,34,CLERMONT-L'HERAULT,,Caisse d'Allocations Familiales de CLERMONT L'HERAULT,,34800,46 boulevard Gambetta,,46 boulevard Gambetta 34800 CLERMONT-L'HERAULT,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/clermont-l-herault-0,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.628832,3.4347
Ref_0550,,34,GANGES,,Caisse d'Allocations Familiales de GANGES,Maison départementale des services,34190,avenue du Mont Aigoual,,avenue du Mont Aigoual 34190 GANGES,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/ganges,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.932521,3.704428
Ref_0551,,34,LODEVE,,Caisse d'Allocations Familiales de LODEVE,,34700,1 rue Georges Fabre,,1 rue Georges Fabre 34700 LODEVE,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/lodeve,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.730366,3.319731
Ref_0552,,34,LUNEL,,Caisse d'Allocations Familiales de LUNEL,,34400,158 avenue des Abrivados,,158 avenue des Abrivados 34400 LUNEL,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/lunel,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous,ACCDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.671605,4.12994
Ref_0553,,34,MONTPELLIER,,Caisse d'Allocations Familiales de MONTPELLIER - Port Marianne,Résidence Port Pallas,34000,23 rue de Chio,,23 rue de Chio 34000 MONTPELLIER,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/montpellier-port-marianne,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.60014,3.898521
Ref_0554,,34,MONTPELLIER,,Caisse d'Allocations Familiales de MONTPELLIER - Mosson,,34080,476 avenue de Barcelone,,476 avenue de Barcelone 34080 MONTPELLIER,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/bornes-interactives/borne-de-montpellier-la-paillade,,,,,,,,juil-22,,Gratuit,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.624885,3.817619
Ref_0555,,34,PEZENAS,,Caisse d'Allocations Familiales de PEZENAS,,34120,6 place Bobby Lapointe,,6 place Bobby Lapointe 34120 PEZENAS,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/pezenas,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.459324,3.420371
Ref_0556,,34,SAINT-PONS-DE-THOMIERES,,Caisse d'Allocations Familiales de SAINT PONS DE THOMIERES,Mairie,34220,Rue de Villeneuve,,Rue de Villeneuve 34220 SAINT-PONS-DE-THOMIERES,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/saint-pons-de-thomieres,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.488001,2.760705
Ref_0557,,34,SERIGNAN,,Caisse d'Allocations Familiales de SERIGNAN,,34410,146 avenue de la plage,,146 avenue de la plage 34410 SERIGNAN,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/serignan,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.280237,3.280593
Ref_0558,,34,SETE,,Caisse d'Allocations Familiales de SETE,,34200,6 quai Adolphe Merle,,6 quai Adolphe Merle 34200 SETE,,,,,,https://www.caf.fr/allocataires/caf-de-l-herault/points-d-accueil/sete-0,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.407731,3.696425
Ref_0559,,34,BEZIERS,,Caisse Primaire d'Assurance Maladie - agence de BEZIERS,,34500,2 carrefour de l'Hours,,2 carrefour de l'Hours 34500 BEZIERS,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/agence-de-beziers,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.339347,3.218835
Ref_0560,,34,MONTPELLIER,,Caisse Primaire d'Assurance Maladie - siège de MONTPELLIER,,34000,29 cours Gambetta,,29 cours Gambetta 34000 MONTPELLIER,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/agence-de-montpellier,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.606996,3.870769
Ref_0561,,34,MONTPELLIER,,Caisse Primaire d'Assurance Maladie - agence de la Mosson MONTPELLIER,,34080,90 allée Amilcare Calvetti,,90 allée Amilcare Calvetti 34080 MONTPELLIER,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/agence-de-la-mosson-montpellier,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.63224,3.821146
Ref_0562,,34,SETE,,Caisse Primaire d'Assurance Maladie - agence de SETE,,34200,287 avenue du Maréchal Juin,,287 avenue du Maréchal Juin 34200 SETE,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/agence-de-sete,,,,,,,,juil-22,,Gratuit;Sur Rendez-Vous;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.407472,3.703945
Ref_0563,,34,AGDE,,Caisse Primaire d'Assurance Maladie - point d'accueil d' AGDE,,34300,4 rue de l'Egalité,,4 rue de l'Egalité 34300 AGDE,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/point-daccueil-de-agde,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.310236,3.471029
Ref_0564,,34,FRONTIGNAN,,Caisse Primaire d'Assurance Maladie - point d'accueil de FRONTIGNAN,,34110,8 quai Voltaire,,8 quai Voltaire 34110 FRONTIGNAN,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/point-daccueil-de-frontignan,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.444077,3.757118
Ref_0565,,34,GANGES,,Caisse Primaire d'Assurance Maladie - point d'accueil de GANGES,Maison départementale des services,34190,avenue du Mont Aigoual,,avenue du Mont Aigoual 34190 GANGES,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/point-daccueil-de-ganges,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.932521,3.704428
Ref_0566,,34,LODEVE,,Caisse Primaire d'Assurance Maladie - point d'accueil de LODEVE,,34700,7 Place hôtel de ville,,7 Place hôtel de ville 34700 LODEVE,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/point-daccueil-de-lodeve,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.732419,3.317238
Ref_0567,,34,LUNEL,,Caisse Primaire d'Assurance Maladie - point d'accueil de LUNEL,,34400,2 rue Henri Reynaud,,2 rue Henri Reynaud 34400 LUNEL,,,,3646,via le compte ameli,https://www.ameli.fr/herault/assure/adresses-et-contacts/points-accueil/point-daccueil-de-lunel,,,,,,,,juil-22,,Gratuit;Sans Rendez-Vous;Sur Rendez-Vous,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.67725,4.130965
Ref_0568,,34,MONTPELLIER,,Mutualité Sociale Agricole - site de MONTPELLIER,bâtiment @xiion,34000,581 rue Georges Méliès,,581 rue Georges Méliès 34000 MONTPELLIER,,,,04-99-58-3000,,https://languedoc.msa.fr/lfy/contact-particulier,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous;Matériel personnel demandé,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.605859,3.920475
Ref_0569,,34,CLERMONT-L'HERAULT,,Mutualité Sociale Agricole - agence de CLERMONT L'HERAULT,,34800,1 rue Jean Moulin,,1 rue Jean Moulin 34800 CLERMONT-L'HERAULT,,,,04-99-58-3000,,https://languedoc.msa.fr/lfy/contact-particulier,,,,,,,,juil-22,,Gratuit;Inscription obligatoire;Sur Rendez-Vous;Matériel personnel demandé,ACCDA,,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,,,43.633045,3.434386
